date,period,bin,count
2020-10-26,off_peak,15+,49
2020-10-26,afternoon_commute,0-5,440
2020-10-26,afternoon_commute,5-10,179
2020-10-26,afternoon_commute,10-15,117
2020-10-26,afternoon_commute,15+,53
2020-10-27,morning_commute,0-5,267
2020-10-27,morning_commute,5-10,180
2020-10-27,morning_commute,10-15,20
2020-10-27,morning_commute,15+,0
2020-10-27,off_peak,0-5,805
2020-10-27,off_peak,5-10,300
2020-10-27,off_peak,10-15,154
2020-10-27,off_peak,15+,63
2020-10-27,afternoon_commute,0-5,338
2020-10-27,afternoon_commute,5-10,275
2020-10-27,afternoon_commute,10-15,105
2020-10-27,afternoon_commute,15+,35
2020-10-28,morning_commute,0-5,204
2020-10-28,morning_commute,5-10,235
2020-10-28,morning_commute,10-15,4
2020-10-28,morning_commute,15+,0
2020-10-28,off_peak,0-5,700
2020-10-28,off_peak,5-10,470
2020-10-28,off_peak,10-15,142
2020-10-28,off_peak,15+,14
2020-10-28,afternoon_commute,0-5,356
2020-10-28,afternoon_commute,5-10,248
2020-10-28,afternoon_commute,10-15,128
2020-10-28,afternoon_commute,15+,18
2020-10-29,morning_commute,0-5,259
2020-10-29,morning_commute,5-10,115
2020-10-29,morning_commute,10-15,66
2020-10-29,morning_commute,15+,3
2020-10-29,off_peak,0-5,628
2020-10-29,off_peak,5-10,393
2020-10-29,off_peak,10-15,150
2020-10-29,off_peak,15+,39
2020-10-29,afternoon_commute,0-5,310
2020-10-29,afternoon_commute,5-10,175
2020-10-29,afternoon_commute,10-15,125
2020-10-29,afternoon_commute,15+,74
2020-10-30,morning_commute,0-5,182
2020-10-30,morning_commute,5-10,172
2020-10-30,morning_commute,10-15,36
2020-10-30,morning_commute,15+,4
2020-10-30,off_peak,0-5,570
2020-10-30,off_peak,5-10,352
2020-10-30,off_peak,10-15,175
2020-10-30,off_peak,15+,58
2020-10-30,afternoon_commute,0-5,387
2020-10-30,afternoon_commute,5-10,145
2020-10-30,afternoon_commute,10-15,87
2020-10-30,afternoon_commute,15+,101
2020-11-02,morning_commute,0-5,215
2020-11-02,morning_commute,5-10,129
2020-11-02,morning_commute,10-15,53
2020-11-02,morning_commute,15+,1
2020-11-02,off_peak,0-5,653
2020-11-02,off_peak,5-10,499
2020-11-02,off_peak,10-15,141
2020-11-02,off_peak,15+,13
2020-11-02,afternoon_commute,0-5,361
2020-11-02,afternoon_commute,5-10,192
2020-11-02,afternoon_commute,10-15,169
2020-11-02,afternoon_commute,15+,17
2020-11-03,morning_commute,0-5,255
2020-11-03,morning_commute,5-10,183
2020-11-03,morning_commute,10-15,14
2020-11-03,morning_commute,15+,2
2020-11-03,off_peak,0-5,609
2020-11-03,off_peak,5-10,413
2020-11-03,off_peak,10-15,181
2020-11-03,off_peak,15+,41
2020-11-03,afternoon_commute,0-5,419
2020-11-03,afternoon_commute,5-10,233
2020-11-03,afternoon_commute,10-15,91
2020-11-03,afternoon_commute,15+,47
2020-11-04,morning_commute,0-5,208
2020-11-04,morning_commute,5-10,198
2020-11-04,morning_commute,10-15,17
2020-11-04,morning_commute,15+,1
2020-11-04,off_peak,0-5,684
2020-11-04,off_peak,5-10,413
2020-11-04,off_peak,10-15,173
2020-11-04,off_peak,15+,33
2020-11-04,afternoon_commute,0-5,396
2020-11-04,afternoon_commute,5-10,246
2020-11-04,afternoon_commute,10-15,139
2020-11-04,afternoon_commute,15+,15
2020-11-05,morning_commute,0-5,229
2020-11-05,morning_commute,5-10,113
2020-11-05,morning_commute,10-15,42
2020-11-05,morning_commute,15+,16
2020-11-05,off_peak,0-5,647
2020-11-05,off_peak,5-10,552
2020-11-05,off_peak,10-15,95
2020-11-05,off_peak,15+,16
2020-11-05,afternoon_commute,0-5,300
2020-11-05,afternoon_commute,5-10,292
2020-11-05,afternoon_commute,10-15,132
2020-11-05,afternoon_commute,15+,10
2020-11-06,morning_commute,0-5,279
2020-11-06,morning_commute,5-10,80
2020-11-06,morning_commute,10-15,35
2020-11-06,morning_commute,15+,17
2020-11-06,off_peak,0-5,667
2020-11-06,off_peak,5-10,344
2020-11-06,off_peak,10-15,156
2020-11-06,off_peak,15+,64
2020-11-06,afternoon_commute,0-5,298
2020-11-06,afternoon_commute,5-10,257
2020-11-06,afternoon_commute,10-15,158
2020-11-06,afternoon_commute,15+,9
2020-11-09,morning_commute,0-5,240
2020-11-09,morning_commute,5-10,167
2020-11-09,morning_commute,10-15,37
2020-11-09,morning_commute,15+,0
2020-11-09,off_peak,0-5,685
2020-11-09,off_peak,5-10,440
2020-11-09,off_peak,10-15,139
2020-11-09,off_peak,15+,24
2020-11-09,afternoon_commute,0-5,375
2020-11-09,afternoon_commute,5-10,300
2020-11-09,afternoon_commute,10-15,107
2020-11-09,afternoon_commute,15+,19
2020-11-10,morning_commute,0-5,258
2020-11-10,morning_commute,5-10,160
2020-11-10,morning_commute,10-15,35
2020-11-10,morning_commute,15+,1
2020-11-10,off_peak,0-5,752
2020-11-10,off_peak,5-10,400
2020-11-10,off_peak,10-15,149
2020-11-10,off_peak,15+,49
2020-11-10,afternoon_commute,0-5,416
2020-11-10,afternoon_commute,5-10,300
2020-11-10,afternoon_commute,10-15,79
2020-11-10,afternoon_commute,15+,20
2020-11-11,morning_commute,0-5,146
2020-11-11,morning_commute,5-10,129
2020-11-11,morning_commute,10-15,59
2020-11-11,morning_commute,15+,8
2020-11-11,off_peak,0-5,310
2020-11-11,off_peak,5-10,379
2020-11-11,off_peak,10-15,199
2020-11-11,off_peak,15+,55
2020-11-11,afternoon_commute,0-5,335
2020-11-11,afternoon_commute,5-10,170
2020-11-11,afternoon_commute,10-15,115
2020-11-11,afternoon_commute,15+,76
2020-11-12,morning_commute,0-5,258
2020-11-12,morning_commute,5-10,145
2020-11-12,morning_commute,10-15,26
2020-11-12,morning_commute,15+,1
2020-11-12,off_peak,0-5,672
2020-11-12,off_peak,5-10,425
2020-11-12,off_peak,10-15,171
2020-11-12,off_peak,15+,23
2020-11-12,afternoon_commute,0-5,402
2020-11-12,afternoon_commute,5-10,302
2020-11-12,afternoon_commute,10-15,102
2020-11-12,afternoon_commute,15+,12
2020-11-13,morning_commute,0-5,238
2020-11-13,morning_commute,5-10,157
2020-11-13,morning_commute,10-15,36
2020-11-13,morning_commute,15+,1
2020-11-13,off_peak,0-5,684
2020-11-13,off_peak,5-10,289
2020-11-13,off_peak,10-15,246
2020-11-13,off_peak,15+,29
2020-11-13,afternoon_commute,0-5,392
2020-11-13,afternoon_commute,5-10,284
2020-11-13,afternoon_commute,10-15,106
2020-11-13,afternoon_commute,15+,17
2020-11-16,morning_commute,0-5,253
2020-11-16,morning_commute,5-10,77
2020-11-16,morning_commute,10-15,70
2020-11-16,morning_commute,15+,17
2020-11-16,off_peak,0-5,685
2020-11-16,off_peak,5-10,424
2020-11-16,off_peak,10-15,188
2020-11-16,off_peak,15+,8
2020-11-16,afternoon_commute,0-5,476
2020-11-16,afternoon_commute,5-10,234
2020-11-16,afternoon_commute,10-15,142
2020-11-16,afternoon_commute,15+,6
2020-11-17,morning_commute,0-5,260
2020-11-17,morning_commute,5-10,122
2020-11-17,morning_commute,10-15,32
2020-11-17,morning_commute,15+,20
2020-11-17,off_peak,0-5,658
2020-11-17,off_peak,5-10,374
2020-11-17,off_peak,10-15,161
2020-11-17,off_peak,15+,52
2020-11-17,afternoon_commute,0-5,420
2020-11-17,afternoon_commute,5-10,282
